Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,6.024112,6.070273,5.908707,5.931788,4.781896,14330036
2012-01-03,6.047193,6.116435,5.977950,6.116435,4.930749,32453255
2012-01-04,6.139516,6.139516,6.024112,6.116435,4.930749,26331307
2012-01-05,6.139516,6.139516,5.977950,6.047193,4.874930,37223435
2012-01-06,6.047193,6.070273,5.908707,5.954869,4.800503,21127868
2012-01-09,5.977950,6.001031,5.908707,6.001031,4.837717,11392541
2012-01-10,6.047193,6.116435,6.001031,6.070273,4.893537,21894736
2012-01-11,6.116435,6.139516,6.047193,6.047193,4.874930,14379861
2012-01-12,6.093354,6.116435,6.001031,6.093354,4.912143,12503850
2012-01-13,6.093354,6.139516,6.001031,6.093354,4.912143,25070524
2012-01-16,6.185678,6.185678,5.954869,5.954869,4.800503,16095566
2012-01-17,5.954869,6.001031,5.908707,5.977950,4.819109,41504032
2012-01-18,6.024112,6.024112,5.862545,5.862545,4.726077,23374315
2012-01-30,6.001031,6.093354,5.908707,6.001031,4.837717,34888169
2012-01-31,6.070273,6.416487,6.001031,6.416487,5.172636,60157993
2012-02-01,6.531891,6.808862,6.485729,6.762700,5.451734,72687839
2012-02-02,6.762700,6.993509,6.739619,6.924266,5.581980,68834001
2012-02-03,6.924266,6.947347,6.808862,6.947347,5.600587,27241150
2012-02-06,7.178156,7.201237,7.016590,7.108914,5.730834,23692760
2012-02-07,7.108914,7.155075,7.016590,7.085833,5.712227,27264980
2012-02-08,7.062752,7.155075,7.062752,7.108914,5.730834,32433758
2012-02-09,7.201237,7.201237,7.085833,7.155075,5.768046,26132008
2012-02-10,7.131994,7.201237,7.039671,7.085833,5.712227,22886899
2012-02-13,7.085833,7.155075,7.016590,7.062752,5.693620,22559788
2012-02-14,7.155075,7.155075,6.878105,6.947347,5.600587,30198142
2012-02-15,7.016590,7.224318,6.970428,7.178156,5.786654,63017501
2012-02-16,7.108914,7.178156,6.993509,7.016590,5.656407,28008019
2012-02-17,7.108914,7.155075,6.970428,7.016590,5.656407,19548639
2012-02-20,7.108914,7.155075,7.016590,7.062752,5.693620,13827456
2012-02-21,6.993509,7.016590,6.785781,6.901186,5.563374,40479375
2012-02-22,6.831943,7.062752,6.831943,7.062752,5.693620,30081162
2012-02-23,7.062752,7.108914,6.993509,7.016590,5.656407,9919461
2012-02-24,7.131994,7.224318,7.016590,7.224318,5.823866,31937677
2012-02-29,7.270480,7.432046,7.270480,7.432046,5.991325,57822727
2012-03-01,7.455127,7.455127,7.316642,7.432046,5.991325,23140355
2012-03-02,7.478208,7.524370,7.316642,7.432046,5.991325,20989225
2012-03-05,7.270480,7.316642,7.131994,7.131994,5.749440,17562147
2012-03-06,7.201237,7.247399,6.993509,7.131994,5.749440,46423687
2012-03-07,7.108914,7.178156,7.039671,7.178156,5.786654,11552847
2012-03-08,7.224318,7.547450,7.201237,7.385884,5.954113,45095748
2012-03-09,7.385884,7.432046,7.270480,7.316642,5.898293,18976738
2012-03-12,7.362803,7.616693,7.316642,7.408965,5.972719,50446495
2012-03-13,7.570531,7.916745,7.547450,7.916745,6.382065,127326114
2012-03-14,8.009068,8.124473,7.824421,7.824421,6.307637,88631765
2012-03-15,7.870583,8.055230,7.847502,7.847502,6.326245,52846749
2012-03-16,7.847502,7.847502,7.732098,7.847502,6.326245,28807381
2012-03-19,7.870583,7.916745,7.732098,7.801340,6.289032,24611269
2012-03-20,7.801340,7.801340,7.639774,7.662855,6.177392,25447459
2012-03-21,7.616693,7.824421,7.616693,7.709017,6.214605,27943030
2012-03-22,7.755178,8.078311,7.755178,7.893664,6.363458,49421838
2012-03-23,7.985987,7.985987,7.893664,7.939826,6.400672,22613946
2012-03-26,7.893664,7.893664,7.662855,7.732098,6.233212,31198970
2012-03-27,7.801340,7.801340,7.639774,7.709017,6.214605,23159852
2012-03-28,7.824421,7.824421,7.616693,7.639774,6.158785,15313534
2012-03-29,7.524370,7.616693,7.293561,7.316642,5.898293,27830383
2012-03-30,7.316642,7.501289,7.247399,7.478208,6.028539,21493972
2012-04-02,7.385884,7.455127,7.339722,7.339722,5.916899,8140934
2012-04-03,7.362803,7.432046,7.155075,7.178156,5.786654,13862117
2012-04-05,7.016590,7.039671,6.855024,6.924266,5.581980,22232678
2012-04-06,6.924266,6.993509,6.855024,6.901186,5.563374,18753609
2012-04-09,6.762700,6.831943,6.739619,6.808862,5.488947,17152718
2012-04-10,6.924266,7.108914,6.901186,6.970428,5.619193,33213624
2012-04-11,6.924266,7.039671,6.878105,6.947347,5.600587,16173553
2012-04-12,6.970428,7.016590,6.878105,6.970428,5.619193,23887727
2012-04-13,7.062752,7.108914,6.993509,7.108914,5.730834,17748449
2012-04-16,7.016590,7.108914,6.947347,7.108914,5.730834,9960621
2012-04-17,7.085833,7.131994,6.993509,6.993509,5.637800,15385022
2012-04-18,7.108914,7.316642,7.039671,7.224318,5.823866,22453640
2012-04-19,7.178156,7.501289,7.155075,7.408965,5.972719,44140412
2012-04-20,7.408965,7.547450,7.270480,7.316642,5.898293,36086130
2012-04-23,7.247399,7.385884,7.247399,7.385884,5.954113,20222357
2012-04-24,7.339722,7.385884,7.247399,7.293561,5.879686,10263902
2012-04-25,7.293561,7.385884,7.293561,7.362803,5.935505,9271739
2012-04-26,7.385884,7.385884,7.201237,7.270480,5.861080,7612358
2012-04-27,7.293561,7.293561,7.016590,7.039671,5.675013,12549342
2012-04-30,7.016590,7.247399,7.016590,7.155075,5.768046,17921752
2012-05-02,7.201237,7.432046,7.201237,7.385884,5.954113,27182661
2012-05-03,7.385884,7.385884,7.247399,7.247399,5.842473,10058104
2012-05-04,7.201237,7.385884,7.178156,7.293561,5.879686,20174698
2012-05-07,7.201237,7.201237,6.993509,7.039671,5.675013,26623757
2012-05-08,7.108914,7.108914,7.039671,7.062752,5.693620,9050777
2012-05-09,7.016590,7.085833,6.947347,7.016590,5.656407,9962787
2012-05-10,7.085833,7.201237,7.062752,7.201237,5.805260,12399868
2012-05-11,7.155075,7.201237,7.016590,7.062752,5.693620,12339212
2012-05-14,7.062752,7.178156,7.016590,7.155075,5.768046,9949789
2012-05-15,7.085833,7.085833,7.016590,7.062752,5.693620,6206433
2012-05-16,6.993509,7.062752,6.578053,6.601134,5.321488,33324105
2012-05-17,6.693457,6.924266,6.647296,6.878105,5.544768,27505438
2012-05-18,6.716538,6.831943,6.670377,6.716538,5.414521,23649435
2012-05-21,6.739619,6.878105,6.716538,6.739619,5.433127,23772913
2012-05-22,6.785781,6.924266,6.785781,6.901186,5.563374,12308884
2012-05-23,6.831943,6.831943,6.647296,6.716538,5.414521,19163039
2012-05-24,6.716538,6.855024,6.670377,6.808862,5.488947,17131055
