Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,14.189088,14.235157,13.912678,13.958746,13.397352,13541799
2012-01-03,14.050883,14.695842,14.050883,14.419431,13.839510,41614144
2012-01-04,14.511568,14.880115,14.419431,14.695842,14.104803,51587343
2012-01-05,14.834047,15.663279,14.695842,15.386869,14.768040,111454752
2012-01-06,15.386869,15.386869,14.741910,15.064389,14.458529,24486378
2012-01-09,15.064389,15.156526,14.926184,15.156526,14.546960,9607438
2012-01-10,15.294732,15.525074,15.202595,15.479006,14.856470,15624569
2012-01-11,15.479006,15.617211,15.202595,15.617211,14.989117,14344952
2012-01-12,15.617211,15.617211,15.340800,15.525074,14.900686,14155017
2012-01-13,15.571143,15.663279,15.340800,15.525074,14.900686,18256521
2012-01-16,15.663279,15.663279,14.926184,14.926184,14.325882,9777837
2012-01-17,15.294732,15.294732,14.972252,15.156526,14.546960,6367695
2012-01-18,15.064389,15.110458,14.787979,15.018321,14.414312,7190384
2012-01-30,15.432937,15.525074,14.926184,14.972252,14.370097,11408019
2012-01-31,15.018321,15.294732,14.972252,15.248663,14.635391,7686384
2012-02-01,15.248663,16.308237,15.248663,16.031828,15.387059,54544897
2012-02-02,15.985759,16.768923,15.985759,16.584648,15.917646,52723695
2012-02-03,16.768923,17.275677,16.722855,17.045334,16.359804,52631441
2012-02-06,16.814991,17.552088,16.768923,17.275677,16.580881,37214172
2012-02-07,17.275677,17.459949,17.137470,17.367813,16.669312,14538142
2012-02-08,17.506018,17.920635,17.321745,17.598154,16.890392,24784847
2012-02-09,17.598154,17.598154,17.229607,17.506018,16.801958,10798057
2012-02-10,17.506018,17.644224,17.367813,17.413881,16.713528,11879057
2012-02-13,17.506018,18.197044,17.506018,17.920635,17.199902,48392099
2012-02-14,17.966703,17.966703,17.367813,17.506018,16.801958,27269192
2012-02-15,17.598154,17.736361,17.552088,17.644224,16.934608,10297715
2012-02-16,17.506018,17.506018,17.229607,17.367813,16.669312,10582074
2012-02-17,17.506018,17.598154,16.768923,16.999266,16.315590,13318219
2012-02-20,17.413881,17.736361,17.229607,17.736361,17.023039,19442798
2012-02-21,17.828499,18.289183,17.828499,18.150976,17.420979,27009796
2012-02-22,18.150976,18.150976,17.644224,18.058840,17.332548,16439660
2012-02-23,18.058840,18.197044,17.874565,18.058840,17.332548,9671473
2012-02-24,18.012772,18.012772,17.736361,17.966703,17.244116,16848833
2012-02-29,17.966703,19.026278,17.966703,18.980209,18.216862,28791926
2012-03-01,18.980209,20.177990,18.980209,19.717304,18.924313,43867312
2012-03-02,19.717304,19.717304,19.164482,19.348757,18.570587,9443552
2012-03-05,19.072346,19.072346,18.565594,18.611662,17.863136,6800746
2012-03-06,18.335251,18.519526,17.966703,18.381319,17.642057,10210888
2012-03-07,17.874565,18.381319,17.828499,18.012772,17.288332,10617891
2012-03-08,18.104908,19.210552,17.966703,19.210552,18.437941,17647644
2012-03-09,19.210552,19.210552,18.749866,18.888071,18.128431,12256755
2012-03-12,18.888071,19.072346,18.703798,18.795935,18.039999,7337990
2012-03-13,19.026278,19.164482,18.888071,18.888071,18.128431,7259845
2012-03-14,19.302689,19.348757,18.934141,19.256620,18.482157,14335183
2012-03-15,19.348757,19.348757,18.795935,18.980209,18.216862,7538778
2012-03-16,19.348757,19.671236,18.473455,18.473455,17.730488,22302672
2012-03-19,18.749866,18.842005,18.565594,18.657730,17.907352,9145083
2012-03-20,18.657730,18.703798,18.243114,18.381319,17.642057,8628460
2012-03-21,18.381319,18.934141,18.335251,18.934141,18.172647,8996391
2012-03-22,18.888071,19.026278,18.565594,18.749866,17.995783,9335017
2012-03-23,18.749866,18.749866,18.427387,18.749866,17.995783,5149943
2012-03-26,18.749866,18.749866,18.150976,18.381319,17.642057,9740935
2012-03-27,18.473455,18.565594,18.335251,18.473455,17.730488,6051861
2012-03-28,18.519526,18.703798,18.381319,18.473455,17.730488,7086191
2012-03-29,18.473455,18.519526,17.966703,18.335251,17.597843,12767951
2012-03-30,18.150976,18.703798,17.828499,18.703798,17.951567,15752639
2012-04-02,18.427387,18.427387,18.012772,18.058840,17.332548,7623435
2012-04-03,18.104908,18.519526,17.459949,18.058840,17.332548,17110400
2012-04-05,17.552088,18.335251,16.999266,18.150976,17.420979,18754692
2012-04-06,18.150976,18.243114,17.782429,17.966703,17.244116,5433217
2012-04-09,17.736361,18.289183,17.736361,18.243114,17.509413,10672158
2012-04-10,18.427387,18.427387,17.966703,18.150976,17.420979,9925443
2012-04-11,17.966703,18.289183,17.598154,17.966703,17.244116,10287947
2012-04-12,17.966703,17.966703,17.644224,17.736361,17.023039,7599557
2012-04-13,17.828499,17.874565,17.137470,17.506018,16.801958,17412125
2012-04-16,17.137470,17.413881,16.308237,16.354307,15.696568,22704248
2012-04-17,16.354307,16.400375,15.294732,15.432937,14.812254,34267471
2012-04-18,15.709348,15.709348,15.386869,15.571143,14.944902,14771491
2012-04-19,15.525074,16.031828,15.386869,15.985759,15.342842,20642100
2012-04-20,15.985759,16.031828,15.248663,15.248663,14.635391,19829180
2012-04-23,15.248663,15.479006,15.202595,15.202595,14.591176,9963430
2012-04-24,15.156526,15.847553,15.156526,15.663279,15.033331,12265438
2012-04-25,15.801485,16.216101,15.709348,16.216101,15.563920,9999246
2012-04-26,16.400375,16.446444,15.893622,16.216101,15.563920,8018499
2012-04-27,16.400375,16.400375,15.525074,15.847553,15.210196,6896256
2012-04-30,15.663279,15.985759,15.663279,15.847553,15.210196,3080197
2012-05-02,15.939690,16.492512,15.847553,16.354307,15.696568,8697922
2012-05-03,16.354307,16.492512,16.123964,16.170033,15.519705,5369181
2012-05-04,16.354307,17.137470,16.077896,17.091402,16.404020,13399620
2012-05-07,16.999266,16.999266,16.584648,16.676786,16.006077,12497701
2012-05-08,16.861059,16.953197,16.584648,16.676786,16.006077,7876319
2012-05-09,16.630716,17.229607,16.538580,16.861059,16.182941,15152445
2012-05-10,17.137470,17.229607,16.446444,16.446444,15.785000,12957886
2012-05-11,16.492512,16.630716,15.755416,15.847553,15.210196,10964114
2012-05-14,15.847553,15.893622,15.018321,15.064389,14.458529,25627071
2012-05-15,14.926184,14.972252,14.695842,14.926184,14.325882,21457191
2012-05-16,15.064389,15.386869,14.741910,14.741910,14.149019,21092517
2012-05-17,15.064389,15.294732,14.880115,14.972252,14.370097,10756814
2012-05-18,14.649773,14.741910,14.373362,14.373362,13.795294,11552369
2012-05-21,14.649773,14.649773,14.373362,14.373362,13.795294,4674563
2012-05-22,14.557636,14.557636,14.373362,14.419431,13.839510,7216432
2012-05-23,14.281225,14.281225,13.958746,14.004815,13.441568,7972915
2012-05-24,14.189088,14.189088,13.912678,13.958746,13.397352,5216148
2012-05-25,13.912678,14.143020,13.820541,13.820541,13.264707,8868321
2012-05-28,13.866609,13.912678,13.682335,13.820541,13.264707,9301372
2012-05-29,13.866609,14.373362,13.866609,14.235157,13.662646,25374187
2012-05-30,14.235157,14.235157,13.728404,13.728404,13.176274,16192202
2012-05-31,13.451993,13.590198,13.267719,13.498061,12.955195,62266013
2012-06-01,13.451993,13.912678,13.405924,13.405924,12.866764,36153794
2012-06-04,13.083445,13.175582,12.714897,12.899171,12.380391,23314210
2012-06-05,13.083445,13.267719,12.853103,12.945240,12.424608,18940285
2012-06-06,13.083445,13.221651,12.945240,13.175582,12.645686,8240994
2012-06-07,13.359856,13.359856,13.221651,13.267719,12.734117,8767384
2012-06-08,13.267719,13.359856,13.175582,13.359856,12.822548,5432131
2012-06-11,13.728404,13.728404,13.405924,13.544130,12.999413,7864380
2012-06-12,13.359856,13.636267,13.359856,13.590198,13.043626,4269731
2012-06-13,13.590198,13.728404,13.498061,13.636267,13.087842,5675248
2012-06-14,13.636267,13.866609,13.544130,13.820541,13.264707,7177360
2012-06-15,13.866609,14.096951,13.820541,13.958746,13.397352,9532550
2012-06-18,14.235157,14.649773,14.189088,14.373362,13.795294,16089095
2012-06-19,14.373362,14.695842,14.235157,14.281225,13.706861,12893851
2012-06-20,14.419431,14.465499,14.189088,14.327294,13.751079,6131091
2012-06-21,14.419431,14.465499,14.096951,14.327294,13.751079,6083336
2012-06-22,14.327294,14.373362,14.143020,14.281225,13.706861,5691528
2012-06-25,14.281225,14.281225,14.050883,14.096951,13.529999,9613950
2012-06-26,14.050883,14.189088,13.912678,13.912678,13.353136,5124980
2012-06-27,14.004815,14.419431,13.958746,14.373362,13.795294,10260813
2012-06-28,14.465499,14.511568,14.143020,14.281225,13.706861,8478683
2012-06-29,14.373362,14.834047,14.189088,14.834047,14.237451,20633417
2012-07-02,14.926184,14.972252,14.649773,14.880115,14.281665,13021921
2012-07-03,14.880115,14.926184,14.649773,14.834047,14.237451,6663993
2012-07-04,14.880115,15.018321,14.741910,15.018321,14.414312,6383975
2012-07-05,15.064389,15.248663,15.018321,15.202595,14.591176,14736760
2012-07-06,15.202595,15.248663,14.972252,15.110458,14.502745,7499706
2012-07-09,14.926184,15.110458,14.926184,15.018321,14.414312,4397801
2012-07-10,15.110458,15.110458,14.787979,14.926184,14.325882,5727344
2012-07-11,14.834047,14.972252,14.741910,14.834047,14.237451,9531464
2012-07-12,14.834047,15.018321,14.787979,14.880115,14.281665,9265556
2012-07-13,14.834047,14.972252,14.741910,14.880115,14.281665,6258076
2012-07-16,14.926184,15.202595,14.926184,14.926184,14.325882,6081165
2012-07-17,15.110458,15.248663,15.018321,15.202595,14.591176,7453036
2012-07-18,15.110458,15.156526,14.972252,15.064389,14.458529,6444754
2012-07-19,15.110458,15.294732,14.926184,15.110458,14.502745,8247506
2012-07-20,15.110458,15.202595,15.018321,15.156526,14.546960,4963264
2012-07-23,15.202595,15.202595,14.603705,14.787979,14.193235,9760471
2012-07-24,14.695842,14.741910,14.281225,14.649773,14.060587,9803885
2012-07-25,14.327294,14.695842,14.281225,14.557636,13.972157,10591842
2012-07-26,14.741910,14.741910,14.281225,14.465499,13.883724,7116580
2012-07-27,14.603705,14.787979,14.419431,14.741910,14.149019,5903169
2012-07-30,14.741910,14.880115,14.557636,14.787979,14.193235,6309087
2012-07-31,14.741910,15.248663,14.603705,15.202595,14.591176,14848550
2012-08-01,15.018321,15.755416,15.018321,15.663279,15.033331,10970626
2012-08-02,15.663279,15.663279,15.663279,15.663279,15.033331,0
2012-08-03,15.479006,15.479006,15.294732,15.432937,14.812254,6679188
2012-08-06,15.709348,15.939690,15.663279,15.939690,15.298626,10506100
2012-08-07,15.893622,16.031828,15.847553,16.031828,15.387059,7089447
2012-08-08,16.077896,16.123964,15.985759,16.123964,15.475490,5829366
2012-08-09,16.123964,16.584648,16.077896,16.400375,15.740785,11653306
2012-08-10,16.400375,16.492512,16.262171,16.354307,15.696568,7194725
2012-08-13,16.584648,16.584648,16.123964,16.123964,15.475490,3046552
2012-08-14,16.123964,16.354307,15.893622,16.123964,15.475490,6723687
2012-08-15,16.123964,16.308237,15.893622,16.308237,15.652351,7341246
2012-08-16,16.400375,16.400375,16.031828,16.123964,15.475490,8388600
2012-08-17,16.123964,16.123964,15.893622,15.939690,15.298626,7421561
2012-08-20,15.893622,15.893622,15.525074,15.525074,14.900686,3997310
2012-08-21,15.617211,15.663279,15.386869,15.479006,14.856470,8397283
2012-08-22,15.479006,15.479006,15.018321,15.110458,14.502745,12052711
2012-08-23,15.202595,15.386869,15.064389,15.386869,14.768040,4778756
2012-08-24,15.294732,15.571143,15.064389,15.479006,14.856470,6123493
2012-08-27,15.525074,15.571143,15.202595,15.432937,14.812254,3714036
2012-08-28,15.432937,15.432937,14.926184,15.018321,14.414312,10864263
2012-08-29,14.972252,15.110458,14.834047,15.110458,14.502745,4865583
2012-08-30,15.018321,15.110458,14.926184,15.018321,14.414312,5128236
2012-08-31,15.018321,15.018321,14.695842,14.741910,14.149019,10802399
2012-09-03,14.741910,15.202595,14.419431,15.202595,14.591176,12954630
2012-09-04,15.018321,15.156526,14.834047,14.880115,14.281665,5698040
2012-09-05,14.741910,14.834047,14.557636,14.603705,14.016373,8120521
2012-09-06,14.557636,14.649773,14.465499,14.557636,13.972157,4583395
2012-09-07,14.741910,14.972252,14.695842,14.926184,14.325882,6996108
2012-09-10,14.972252,15.202595,14.880115,15.202595,14.591176,5224831
2012-09-11,15.018321,15.110458,14.787979,14.834047,14.237451,4524786
2012-09-12,14.880115,15.018321,14.649773,14.695842,14.104803,6911451
2012-09-13,14.695842,14.787979,14.557636,14.603705,14.016373,6135432
2012-09-14,14.695842,14.834047,14.557636,14.695842,14.104803,12106978
2012-09-17,14.787979,15.571143,14.741910,15.479006,14.856470,22961474
2012-09-18,15.479006,15.525074,15.294732,15.340800,14.723823,10151194
2012-09-19,15.479006,15.755416,15.479006,15.709348,15.077549,15797138
2012-09-20,15.755416,15.939690,15.432937,15.432937,14.812254,13929266
2012-09-21,15.432937,15.479006,15.294732,15.432937,14.812254,9991649
2012-09-24,15.386869,15.432937,15.202595,15.386869,14.768040,4851474
