Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,13.168337,13.168337,12.787148,12.787148,8.623406,45408086
2012-01-03,12.925762,13.410911,12.925762,13.376258,9.020689,125157562
2012-01-04,13.514872,13.549526,13.341604,13.445565,9.067430,111547111
2012-01-05,13.514872,13.584179,13.376258,13.584179,9.160908,124319263
2012-01-06,13.584179,13.653486,13.099030,13.133683,8.857103,74607140
2012-01-09,12.995069,12.995069,12.821802,12.925762,8.716885,42357891
2012-01-10,13.133683,13.410911,13.064376,13.237644,8.927212,62829116
2012-01-11,13.237644,13.306951,13.099030,13.099030,8.833734,41461878
2012-01-12,13.202990,13.306951,13.133683,13.237644,8.927212,41039121
2012-01-13,13.410911,13.514872,13.133683,13.202990,8.903842,53723259
2012-01-16,13.480219,13.480219,12.613881,12.648534,8.529928,70223747
2012-01-17,12.821802,12.821802,12.613881,12.752495,8.600038,62116346
2012-01-18,12.717841,12.717841,12.198038,12.301999,8.296231,102735596
2012-01-30,12.613881,12.891109,12.475266,12.856455,8.670146,101418270
2012-01-31,12.995069,13.445565,12.891109,13.237644,8.927212,127386772
2012-02-01,13.272297,13.653486,13.237644,13.445565,9.067430,103197310
2012-02-02,13.653486,13.826754,13.445565,13.653486,9.207647,103937495
2012-02-03,13.792100,13.792100,13.445565,13.514872,9.114169,58643394
2012-02-06,14.381210,14.381210,14.000021,14.138635,9.534822,72855514
2012-02-07,14.000021,14.207942,13.653486,13.861407,9.347866,79685990
2012-02-08,14.000021,14.242596,13.965368,14.207942,9.581563,72100901
2012-02-09,14.173289,14.207942,14.034675,14.207942,9.581563,50110350
2012-02-10,14.347891,14.557860,14.172916,14.207911,9.581540,48291382
2012-02-13,14.242906,14.487870,14.172916,14.417880,9.723140,53759328
2012-02-14,14.417880,14.417880,13.892958,13.892958,9.369143,88687318
2012-02-15,14.137922,14.137922,13.822968,14.032937,9.463544,87274254
2012-02-16,13.927952,14.067932,13.787973,13.787973,9.298344,61353301
2012-02-17,14.067932,14.172916,13.647994,13.752978,9.274744,50544570
2012-02-20,13.822968,13.927952,13.717983,13.717983,9.251143,33093434
2012-02-21,13.717983,13.717983,13.403030,13.508014,9.109545,46071056
2012-02-22,13.438024,13.612999,13.193060,13.403030,9.038746,94108115
2012-02-23,13.298045,13.543009,13.263050,13.473019,9.085944,32981989
2012-02-24,13.682988,13.857963,13.508014,13.822968,9.321944,57947087
2012-02-29,13.822968,13.997942,13.612999,13.997942,9.439941,64402321
2012-03-01,13.997942,13.997942,13.787973,13.787973,9.298344,35175169
2012-03-02,13.927952,13.997942,13.717983,13.787973,9.298344,28919964
2012-03-05,13.578004,13.612999,13.333040,13.403030,9.038746,35056580
2012-03-06,13.368035,13.508014,13.228055,13.333040,8.991546,49341536
2012-03-07,13.228055,13.298045,13.088076,13.298045,8.967946,26748216
2012-03-08,13.368035,13.962947,13.298045,13.612999,9.180345,69838834
2012-03-09,13.578004,13.752978,13.438024,13.473019,9.085944,33886408
2012-03-12,13.438024,13.473019,13.298045,13.298045,8.967946,24047819
2012-03-13,13.438024,13.717983,13.438024,13.473019,9.085944,73733692
2012-03-14,13.717983,13.752978,13.403030,13.508014,9.109545,46306805
2012-03-15,13.578004,13.717983,13.543009,13.612999,9.180345,29881534
2012-03-16,13.438024,13.543009,13.298045,13.333040,8.991546,59094398
2012-03-19,13.508014,13.508014,13.298045,13.508014,9.109545,31310315
2012-03-20,13.438024,13.473019,13.298045,13.333040,8.991546,22497591
2012-03-21,13.403030,13.543009,13.333040,13.368035,9.015146,27582624
2012-03-22,13.438024,13.787973,13.403030,13.647994,9.203945,41453234
2012-03-23,13.787973,13.787973,13.647994,13.717983,9.251143,32589074
2012-03-26,13.717983,13.717983,13.438024,13.543009,9.133144,33543500
2012-03-27,13.543009,13.612999,13.438024,13.543009,9.133144,22363286
2012-03-28,13.612999,13.612999,13.403030,13.543009,9.133144,15166514
2012-03-29,13.438024,13.473019,12.843112,13.018086,8.779147,63655068
2012-03-30,12.948096,13.088076,12.878107,12.983091,8.755548,40911726
2012-04-02,12.983091,13.088076,12.913102,12.983091,8.755548,23587752
2012-04-03,13.053081,13.123071,12.703132,12.843112,8.661148,57574175
2012-04-05,12.598148,12.668138,12.353184,12.528158,8.448750,42289071
2012-04-06,12.528158,12.598148,12.458168,12.598148,8.495949,28882815
2012-04-09,12.318189,12.528158,12.248199,12.458168,8.401549,35028004
2012-04-10,12.633143,12.773122,12.598148,12.633143,8.519548,33603509
2012-04-11,12.458168,12.703132,12.458168,12.528158,8.448750,29890106
2012-04-12,12.458168,12.773122,12.458168,12.738127,8.590348,100329029
2012-04-13,12.878107,12.913102,12.703132,12.738127,8.590348,42249065
2012-04-16,12.633143,12.703132,12.563153,12.598148,8.495949,20995942
2012-04-17,12.598148,12.668138,12.458168,12.458168,8.401549,45159493
2012-04-18,12.668138,12.703132,12.493163,12.528158,8.448750,30048701
2012-04-19,12.528158,12.738127,12.458168,12.738127,8.590348,42967742
2012-04-20,12.738127,12.738127,12.563153,12.598148,8.495949,34817973
2012-04-23,12.598148,12.633143,12.458168,12.598148,8.495949,28554196
2012-04-24,12.493163,12.598148,12.458168,12.493163,8.425149,21901790
2012-04-25,12.563153,12.598148,12.388179,12.493163,8.425149,38572811
2012-04-26,12.563153,12.668138,12.458168,12.563153,8.472348,27465464
2012-04-27,12.633143,12.668138,12.493163,12.633143,8.519548,27674066
2012-04-30,12.703132,13.053081,12.598148,13.053081,8.802747,36486790
2012-05-02,13.158066,13.263050,13.053081,13.193060,8.897146,35186599
2012-05-03,13.193060,13.228055,13.053081,13.193060,8.897146,18384130
2012-05-04,13.158066,13.298045,13.018086,13.263050,8.944346,26335298
2012-05-07,13.088076,13.088076,12.808117,12.913102,8.708347,32574787
2012-05-08,13.053081,13.053081,12.878107,13.053081,8.802747,18319835
2012-05-09,12.843112,12.983091,12.773122,12.843112,8.661148,27215428
2012-05-10,12.983091,13.088076,12.913102,13.053081,8.802747,27139702
2012-05-11,13.053081,13.053081,12.738127,12.913102,8.708347,24367866
2012-05-14,12.913102,12.948096,12.773122,12.878107,8.684748,12834743
2012-05-15,12.738127,12.773122,12.528158,12.633143,8.519548,31743236
2012-05-16,12.598148,12.668138,11.898251,12.108220,8.165551,62456321
2012-05-17,12.038230,12.178210,11.968240,12.073225,8.141950,79275935
2012-05-18,11.898251,11.898251,11.723276,11.758271,7.929553,59631620
2012-05-21,11.793266,11.968240,11.758271,11.933246,8.047551,15695163
2012-05-22,11.968240,12.073225,11.863256,12.073225,8.141950,30615927
2012-05-23,11.898251,11.898251,11.583297,11.793266,7.953151,44998041
2012-05-24,11.758271,11.863256,11.268343,11.373328,7.669954,89924643
2012-05-25,11.373328,11.373328,11.233348,11.268343,7.599153,55249547
2012-05-28,11.268343,11.408323,11.163359,11.408323,7.693555,45273796
2012-05-29,11.443318,12.003235,11.443318,12.003235,8.094750,53387845
2012-05-30,11.968240,11.968240,11.618292,11.688282,7.882353,65006695
2012-05-31,11.443318,11.653287,11.338333,11.653287,7.858751,67838540
2012-06-01,11.443318,11.513307,11.303338,11.338333,7.646353,40024453
2012-06-04,10.988384,11.058374,10.813410,10.848405,7.315956,64683791
2012-06-05,11.023379,11.198354,10.918395,11.198354,7.551954,38195613
2012-06-06,11.268343,11.338333,11.163359,11.268343,7.599153,22010377
2012-06-07,11.478312,11.618292,11.443318,11.548302,7.787953,36526796
2012-06-08,11.513307,11.758271,11.443318,11.653287,7.858751,39817279
2012-06-11,11.758271,11.968240,11.688282,11.828261,7.976751,28634207
2012-06-12,11.618292,11.723276,11.548302,11.653287,7.858751,19720040
2012-06-13,11.688282,11.688282,11.478312,11.548302,7.787953,33846402
2012-06-14,11.548302,11.688282,11.443318,11.548302,7.787953,55582453
2012-06-15,11.548302,11.898251,11.548302,11.898251,8.023952,62193425
2012-06-18,12.108220,12.248199,12.073225,12.073225,8.141950,54057944
2012-06-19,12.108220,12.213204,12.003235,12.178210,8.212749,38599958
2012-06-20,12.213204,12.388179,12.143215,12.388179,8.354350,49863041
2012-06-21,12.213204,12.248199,12.108220,12.178210,8.212749,28201287
2012-06-22,11.898251,11.968240,11.828261,11.933246,8.047551,36601093
2012-06-25,11.898251,11.898251,11.723276,11.758271,7.929553,32399046
2012-06-26,11.583297,11.758271,11.583297,11.653287,7.858751,22969089
2012-06-27,11.583297,11.828261,11.583297,11.723276,7.905951,26326726
2012-06-28,11.828261,11.828261,11.618292,11.618292,7.835153,34075007
2012-06-29,11.688282,11.898251,11.618292,11.898251,8.023952,35422348
2012-07-02,12.073225,12.318189,12.038230,12.213204,8.236350,75152472
2012-07-03,12.248199,12.283194,12.143215,12.283194,8.283550,55559593
2012-07-04,12.318189,12.423174,12.283194,12.388179,8.354350,47248372
2012-07-05,12.318189,12.388179,12.178210,12.248199,8.259949,39501519
2012-07-06,12.248199,12.248199,12.038230,12.213204,8.236350,31281739
2012-07-09,12.003235,12.178210,11.968240,12.178210,8.212749,19964362
2012-07-10,12.108220,12.248199,12.003235,12.108220,8.165551,30100137
2012-07-11,12.003235,12.423174,12.003235,12.388179,8.354350,50866046
2012-07-12,12.388179,12.423174,12.213204,12.318189,8.307150,47871320
2012-07-13,12.388179,12.423174,12.318189,12.318189,8.307150,28052693
2012-07-16,12.388179,12.388179,12.108220,12.108220,8.165551,52557723
2012-07-17,11.898251,12.213204,11.898251,12.213204,8.431293,50460272
2012-07-18,12.318189,12.388179,12.073225,12.143215,8.382977,43256356
2012-07-19,12.353184,12.423174,12.248199,12.388179,8.552086,39855857
2012-07-20,12.283194,12.458168,12.283194,12.388179,8.552086,26476748
2012-07-23,12.248199,12.248199,12.073225,12.143215,8.382977,22547599
2012-07-24,12.108220,12.143215,12.038230,12.143215,8.382977,13939191
2012-07-25,12.038230,12.178210,11.898251,11.933246,8.238027,37271191
2012-07-26,11.968240,12.143215,11.968240,11.968240,8.262183,32141866
2012-07-27,12.178210,12.248199,12.073225,12.248199,8.455451,26808225
2012-07-30,12.388179,12.598148,12.318189,12.493163,8.624561,62984970
2012-07-31,12.493163,12.668138,12.493163,12.598148,8.697037,50817467
2012-08-01,12.563153,12.598148,12.458168,12.493163,8.624561,48737162
2012-08-02,12.493163,12.493163,12.493163,12.493163,8.624561,0
2012-08-03,12.388179,12.458168,12.283194,12.388179,8.552086,33130583
2012-08-06,12.528158,12.843112,12.528158,12.738127,8.793670,60991820
2012-08-07,12.773122,12.878107,12.633143,12.808117,8.841987,38502801
2012-08-08,12.878107,12.948096,12.668138,12.703132,8.769511,32557641
2012-08-09,12.808117,13.018086,12.738127,12.983091,8.962779,56852640
2012-08-10,12.948096,12.948096,12.633143,12.703132,8.769511,50956059
2012-08-13,12.808117,12.808117,12.598148,12.598148,8.697037,28259867
2012-08-14,12.493163,12.668138,12.388179,12.423174,8.576244,51653305
2012-08-15,12.388179,12.458168,12.248199,12.353184,8.527927,46263941
2012-08-16,12.318189,12.458168,12.283194,12.388179,8.552086,48117071
2012-08-17,12.388179,12.458168,12.283194,12.283194,8.479609,33823541
2012-08-20,12.283194,12.353184,12.248199,12.283194,8.479609,18845626
2012-08-21,12.318189,12.633143,12.283194,12.528158,8.648720,45623847
